PC Time, Mocap_X, Mocap_y, Mocap_z, Mocap_yaw, Mocap_pitch, Mocap_roll, X_ref, Y_ref, Z_ref 
17.283000,0.056809,0.026472,0.242522,-3.157657,-0.920051,-1.746002,0.000000,0.000000,0.200000
17.293000,0.056915,0.026423,0.242050,-3.188086,-0.620778,-1.577835,0.000000,0.000000,0.200000
17.303000,0.056937,0.026122,0.242012,-3.230715,-0.730331,-1.555770,0.000000,0.000000,0.200000
17.313000,0.057010,0.026036,0.241932,-3.232968,-0.905717,-1.761236,0.000000,0.000000,0.200000
17.323000,0.057051,0.025889,0.241815,-3.295114,-1.049834,-1.710698,0.000000,0.000000,0.200000
17.333000,0.057083,0.025858,0.241386,-3.261588,-0.825173,-1.649420,0.000000,0.000000,0.200000
17.343000,0.057183,0.025682,0.241220,-3.363183,-0.782812,-1.623387,0.000000,0.000000,0.200000
17.353000,0.057139,0.025569,0.241152,-3.328796,-0.766987,-1.587226,0.000000,0.000000,0.200000
17.364000,0.057249,0.025479,0.241014,-3.332684,-0.821602,-1.764992,0.000000,0.000000,0.200000
17.373000,0.057364,0.025518,0.240837,-3.356490,-0.969764,-1.874401,0.000000,0.000000,0.200000
17.384000,0.057298,0.025584,0.240704,-3.322829,-0.786115,-2.077359,0.000000,0.000000,0.200000
17.394000,0.057354,0.025357,0.240426,-3.400930,-0.803927,-1.853169,0.000000,0.000000,0.200000
17.404000,0.057486,0.025304,0.240321,-3.379119,-0.966703,-1.942457,0.000000,0.000000,0.200000
17.415000,0.057477,0.025301,0.240139,-3.349118,-1.060848,-1.993404,0.000000,0.000000,0.200000
17.424000,0.057419,0.025192,0.239983,-3.394428,-0.971667,-1.947800,0.000000,0.000000,0.200000
17.435000,0.057517,0.024914,0.239706,-3.320856,-0.773951,-1.760423,0.000000,0.000000,0.200000
17.444000,0.057597,0.024926,0.239744,-3.231205,-0.573816,-2.047773,0.000000,0.000000,0.200000
17.454000,0.057741,0.024758,0.239683,-3.445954,-0.983723,-1.724642,0.000000,0.000000,0.200000
17.465000,0.057746,0.024658,0.239576,-3.433729,-1.004450,-1.688407,0.000000,0.000000,0.200000
17.474000,0.057652,0.024524,0.239354,-3.545187,-1.113718,-1.513099,0.000000,0.000000,0.200000
